ref,Effective z,DV(rsfid/rs) [Mpc],Dverrpos,Dverrneg,DA/rd,Daerrpos,Daerrneg,DM,DM/rd,Dmerrpos,Dmerrneg,"rd,fid(MPC)",Dv/rd,DV/rd_err_pos,DV/rd_err_neg,dm/rd_err_pos,dm/rd_err_neg,recon,reference,
DR14 Lya quasars (DM ),2.34,,,,,,,,37,1.3,1.2,147.33,,,,0.008823729,0.008144981,,https://www.aanda.org/articles/aa/pdf/2019/09/aa35638-19.pdf,https://www.aanda.org/articles/aa/pdf/2019/09/aa35641-19.pdf
SDSS quasars,1.52,3843,147,147,,,,,,,,147.78,26.00487211,0.994721884,0.994721884,,,,https://academic.oup.com/mnras/article/473/4/4773/4443205,
DES colab,0.81,,,,10.75,0.43,0.43,,19.4575,0.7783,0.7783,153.44,,,,0.005072341,0.005072341,,https://academic.oup.com/mnras/article/483/4/4866/5237724,
WiggleZ,0.44,1723,122,151,,,,,,,,148.6,11.5948856,0.820995962,1.01615074,,,norecon,https://academic.oup.com/mnras/article/441/4/3524/1217202?login=false,
WiggleZ,0.44,1716,73,93,,,,,,,,148.6,11.54777927,0.491251682,0.625841184,,,w/recon,,
WiggleZ,0.6,2087,156,95,,,,,,,,148.6,14.04441454,1.049798116,0.639300135,,,norecon,,
WiggleZ,0.6,2221,97,104,,,,,,,,148.6,14.9461642,0.652759085,0.69986541,,,w/recon,,
WiggleZ,0.73,2560,215,157,,,,,,,,148.6,17.22745626,1.446837147,1.056527591,,,norecon,,
WiggleZ,0.73,2516,94,78,,,,,,,,148.6,16.93135935,0.632570659,0.524899058,,,w/recon,,
BOSS DR12,0.32,1270,22,22,,,,1294,,,,147.78,8.593855731,0.148869942,0.148869942,,,,https://arxiv.org/pdf/1607.03155.pdf,
BOSS DR12,0.57,2037,21,21,,,,2179,,,,147.78,13.75693599,0.142103126,0.142103126,,,,,
BOSS DR12,0.38,1477,16,16,,,,1518,,,,147,10.04761905,0.108843537,0.108843537,,,,,
BOSS DR12,0.51,1877,19,19,,,,1977,,,,147,12.76870748,0.129251701,0.129251701,,,,,
BOSS DR12,0.61,2140,22,22,,,,2283,,,,147,14.55782313,0.149659864,0.149659864,,,,,
SDSS MGS,0.15,664,25,25,,,,,,,,148.69,4.465666824,0.168135046,0.168135046,,,,https://academic.oup.com/mnras/article/449/1/835/1298372,
6DFGS,0.106,457,27,27,,,,,,,,,2.97,0.015,0.015,,,,https://academic.oup.com/mnras/article/416/4/3017/976636,
